habitat	phylum	n_in_habitat	phac_in_habitat	pct_in_habitat	n_outside_habitat	phac_outside_habitat	pct_outside_habitat	fisher_or	fisher_p	low_n_flag
Seawater	Altiarchaeota	1	0	0.0	12	0	0.0			yes
Seawater	Zhuqueibacterota	15	0	0.0	125	0	0.0		1	yes
Seawater	Halobacteriota	62	10	16.1	245	18	7.3	2.425	0.0457	
Seawater	SAR324	2361	528	22.4	133	6	4.5	6.097	4.67e-08	
Seawater	Acidobacteriota	740	5	0.7	1764	233	13.2	0.045	1.22e-30	
Seawater	Verrucomicrobiota	6288	13	0.2	587	5	0.9	0.241	0.015	
Seawater	JADFOP01	8	0	0.0	17	0	0.0		1	yes
Seawater	B130-G9	1	0	0.0	6	0	0.0			yes
Seawater	JAAXHH01	25	0	0.0	112	0	0.0		1	
Seawater	Undinarchaeota	16	0	0.0	2	0	0.0		1	yes
Seawater	Aenigmatarchaeota	4	0	0.0	52	0	0.0		1	yes
Seawater	Spirochaetota	75	0	0.0	440	2	0.5	0.000	1	
Seawater	UBP7	28	0	0.0	2	0	0.0		1	
Seawater	Nitrospirota	30	1	3.3	369	3	0.8	4.207	0.269	
Seawater	Methylomirabilota	4	1	25.0	34	16	47.1	0.375	0.613	yes
Seawater	Desulfobacterota_D	500	7	1.4	311	22	7.1	0.187	4.48e-05	
Seawater	Hydrogenedentota	17	0	0.0	35	0	0.0		1	yes
Seawater	Bacteroidota_A	603	0	0.0	684	0	0.0		1	
Seawater	Thermoplasmatota	12553	7	0.1	617	11	1.8	0.031	5.16e-11	
Seawater	Zixibacteria	3	0	0.0	111	0	0.0		1	yes
Seawater	Fusobacteriota	1	0	0.0	18	0	0.0			yes
Seawater	Campylobacterota	56	1	1.8	646	0	0.0	inf	0.0798	
Seawater	Asgardarchaeota	98	1	1.0	354	0	0.0	inf	0.217	
Seawater	Krumholzibacteriota	54	0	0.0	72	0	0.0		1	
Seawater	Armatimonadota	7	0	0.0	29	0	0.0		1	yes
Seawater	Margulisbacteria	85	22	25.9	3	0	0.0	inf	0.57	
Seawater	Hydrothermarchaeota	5	0	0.0	26	0	0.0		1	yes
Seawater	Nitrospinota	786	5	0.6	80	0	0.0	inf	1	
Seawater	Desulfobacterota_I	10	1	10.0	33	1	3.0	3.556	0.415	yes
Seawater	Caldisericota	1	0	0.0	26	0	0.0			yes
Seawater	Pseudomonadota	86922	17617	20.3	13833	5907	42.7	0.341	0	
Seawater	Unknown Bacteria	8	0	0.0	3	1	33.3	0.000	0.273	yes
Seawater	UBP14	2	0	0.0	26	0	0.0		1	yes
Seawater	Bdellovibrionota	422	27	6.4	73	2	2.7	2.427	0.287	
Seawater	Nanohalarchaeota	5	0	0.0	0	0	nan			yes
Seawater	Bacteroidota	33804	58	0.2	3530	26	0.7	0.232	3.13e-08	
Seawater	GCA-2686955	11	1	9.1	1	0	0.0			yes
Seawater	Marinisomatota	6997	13	0.2	330	1	0.3	0.612	0.476	
Seawater	Joyebacterota	6	0	0.0	18	0	0.0		1	yes
Seawater	DRYD01	1	0	0.0	4	0	0.0			yes
Seawater	Calditrichota	7	0	0.0	171	0	0.0		1	yes
Seawater	Desulfobacterota	204	60	29.4	1639	252	15.4	2.293	2.4e-06	
Seawater	Iainarchaeota	5	0	0.0	10	0	0.0		1	yes
